GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
employee-spring,com.increff.employee.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
employee-spring,com.increff.employee.spring,ControllerConfig,4,112,0,0,2,25,1,7,1,7
employee-spring,com.increff.employee.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
employee-spring,com.increff.employee.spring,DbConfig,0,108,0,0,0,28,0,4,0,4
employee-spring,com.increff.employee.service,InventoryService,84,3,8,0,21,1,10,1,6,1
employee-spring,com.increff.employee.service,ProductService,246,3,26,0,52,1,22,1,9,1
employee-spring,com.increff.employee.service,BrandMasterService,173,39,23,3,40,10,20,3,7,3
employee-spring,com.increff.employee.service,AboutAppService,0,9,0,0,0,3,0,3,0,3
employee-spring,com.increff.employee.service,ApiException,4,0,0,0,2,0,1,0,1,0
employee-spring,com.increff.employee.service,SalesReportService,102,3,8,0,24,1,7,1,3,1
employee-spring,com.increff.employee.service,ReportService,3,0,0,0,1,0,1,0,1,0
employee-spring,com.increff.employee.service,UserService,48,3,2,0,13,1,6,1,5,1
employee-spring,com.increff.employee.service,OrderItemsService,61,3,4,0,16,1,5,1,3,1
employee-spring,com.increff.employee.service,OrderService,307,6,4,0,65,2,8,1,6,1
employee-spring,com.increff.employee.util,CookieUtil,36,0,6,0,8,0,5,0,2,0
employee-spring,com.increff.employee.util,UserPrincipal,17,0,0,0,7,0,5,0,5,0
employee-spring,com.increff.employee.util,SecurityUtil,27,0,2,0,9,0,6,0,5,0
employee-spring,com.increff.employee.util,IOUtil,11,0,2,0,7,0,3,0,2,0
employee-spring,com.increff.employee.util,StringUtil,7,14,3,3,1,2,4,2,1,2
employee-spring,com.increff.employee.controller,ReportController,115,3,4,0,27,1,7,1,5,1
employee-spring,com.increff.employee.controller,InitApiController,56,3,2,0,15,1,4,1,3,1
employee-spring,com.increff.employee.controller,SampleController,43,3,0,0,11,1,1,1,1,1
employee-spring,com.increff.employee.controller,OrderApiController,177,3,4,0,43,1,8,1,6,1
employee-spring,com.increff.employee.controller,AboutApiController,16,3,0,0,4,1,1,1,1,1
employee-spring,com.increff.employee.controller,InventoryApiController,122,3,6,0,31,1,10,1,7,1
employee-spring,com.increff.employee.controller,AbstractUiController,30,3,2,0,6,1,2,1,1,1
employee-spring,com.increff.employee.controller,SiteUiController,20,3,0,0,5,1,5,1,5,1
employee-spring,com.increff.employee.controller,BrandMasterApiController,88,3,2,0,25,1,8,1,7,1
employee-spring,com.increff.employee.controller,AppUiController,44,3,0,0,11,1,11,1,11,1
employee-spring,com.increff.employee.controller,ProductApiController,134,3,2,0,35,1,8,1,7,1
employee-spring,com.increff.employee.controller,LoginController,86,3,6,0,19,1,6,1,3,1
employee-spring,com.increff.employee.controller,AppRestControllerAdvice,27,3,0,0,6,1,2,1,2,1
employee-spring,com.increff.employee.pojo,BrandMasterPojo,7,17,0,0,3,7,2,5,2,5
employee-spring,com.increff.employee.pojo,OrderItemsPojo,35,3,0,0,15,1,10,1,10,1
employee-spring,com.increff.employee.pojo,UserPojo,28,3,0,0,12,1,8,1,8,1
employee-spring,com.increff.employee.pojo,OrderPojo,14,3,0,0,6,1,4,1,4,1
employee-spring,com.increff.employee.pojo,InventoryPojo,17,0,0,0,7,0,5,0,5,0
employee-spring,com.increff.employee.pojo,ProductPojo,35,3,0,0,15,1,10,1,10,1
employee-spring,com.increff.employee.dao,InventoryDao,44,10,0,0,11,4,5,2,5,2
employee-spring,com.increff.employee.dao,AbstractDao,3,16,0,0,1,3,1,3,1,3
employee-spring,com.increff.employee.dao,OrderItemsDao,19,6,0,0,5,2,2,2,2,2
employee-spring,com.increff.employee.dao,UserDao,59,12,0,0,14,5,6,2,6,2
employee-spring,com.increff.employee.dao,SalesReportDao,172,6,12,0,30,2,7,2,1,2
employee-spring,com.increff.employee.dao,OrderDao,53,10,0,0,12,4,4,2,4,2
employee-spring,com.increff.employee.dao,ProductDao,58,12,0,0,13,5,5,2,5,2
employee-spring,com.increff.employee.dao,BrandMasterDao,39,37,0,0,9,11,4,4,4,4
employee-spring,com.increff.employee.model,SalesReportData,17,0,0,0,7,0,5,0,5,0
employee-spring,com.increff.employee.model,OrderData,17,0,0,0,7,0,5,0,5,0
employee-spring,com.increff.employee.model,UserData,24,0,0,0,10,0,7,0,7,0
employee-spring,com.increff.employee.model,MessageData,10,0,0,0,4,0,3,0,3,0
employee-spring,com.increff.employee.model,SalesReportForm,31,0,0,0,13,0,9,0,9,0
employee-spring,com.increff.employee.model,UserForm,24,0,0,0,10,0,7,0,7,0
employee-spring,com.increff.employee.model,Invoice,45,0,0,0,19,0,13,0,13,0
employee-spring,com.increff.employee.model,BrandMasterData,10,0,0,0,4,0,3,0,3,0
employee-spring,com.increff.employee.model,OrderItemsData,31,0,0,0,13,0,9,0,9,0
employee-spring,com.increff.employee.model,ProductData,10,0,0,0,4,0,3,0,3,0
employee-spring,com.increff.employee.model,InventoryForm,17,0,0,0,7,0,5,0,5,0
employee-spring,com.increff.employee.model,BrandMasterForm,17,0,0,0,7,0,5,0,5,0
employee-spring,com.increff.employee.model,InventoryReportData,17,0,0,0,7,0,5,0,5,0
employee-spring,com.increff.employee.model,OrderItemsForm,24,0,0,0,10,0,7,0,7,0
employee-spring,com.increff.employee.model,AboutAppData,17,0,0,0,7,0,5,0,5,0
employee-spring,com.increff.employee.model,ProductForm,45,0,0,0,19,0,13,0,13,0
employee-spring,com.increff.employee.model,InfoData,23,0,0,0,10,0,5,0,5,0
employee-spring,com.increff.employee.model,InventoryData,10,0,0,0,4,0,3,0,3,0
employee-spring,com.increff.employee.model,LoginForm,17,0,0,0,7,0,5,0,5,0
